Rank,Release Group,Worldwide,Domestic ($),Domestic %,Foriegn ($),Foriegn %
1,Avengers: Endgame,"$2,797,800,564","$858,373,000",30.7%,"$1,939,427,564",69.3%
2,The Lion King,"$1,656,943,394","$543,638,043",32.8%,"$1,113,305,351",67.2%
3,Frozen II,"$1,450,026,933","$477,373,578",32.9%,"$972,653,355",67.1%
4,Spider-Man: Far from Home,"$1,131,927,996","$390,532,085",34.5%,"$741,395,911",65.5%
5,Captain Marvel,"$1,128,274,794","$426,829,839",37.8%,"$701,444,955",62.2%
6,Joker,"$1,074,251,311","$335,451,311",31.2%,"$738,800,000",68.8%
7,Star Wars: Episode IX - The Rise of Skywalker,"$1,074,144,248","$515,202,542",48%,"$558,941,706",52%
8,Toy Story 4,"$1,073,394,593","$434,038,008",40.4%,"$639,356,585",59.6%
9,Aladdin,"$1,050,693,953","$355,559,216",33.8%,"$695,134,737",66.2%
10,Jumanji: The Next Level,"$796,575,993","$316,831,246",39.8%,"$479,744,747",60.2%
11,Fast & Furious Presents: Hobbs & Shaw,"$759,056,935","$173,956,935",22.9%,"$585,100,000",77.1%
12,Ne Zha,"$726,063,471","$3,695,533",0.5%,"$722,367,938",99.5%
13,The Wandering Earth,"$699,760,773","$5,875,487",0.8%,"$693,885,286",99.2%
14,How to Train Your Dragon: The Hidden World,"$521,799,505","$160,799,505",30.8%,"$361,000,000",69.2%
15,Maleficent: Mistress of Evil,"$491,730,089","$113,929,605",23.2%,"$377,800,484",76.8%
16,It Chapter Two,"$473,093,228","$211,593,228",44.7%,"$261,500,000",55.3%
17,"My People, My Country","$450,064,993","$2,356,683",0.5%,"$447,708,310",99.5%
18,Pokémon Detective Pikachu,"$433,005,346","$144,105,346",33.3%,"$288,900,000",66.7%
19,The Secret Life of Pets 2,"$430,051,293","$158,874,395",36.9%,"$271,176,898",63.1%
20,The Captain,"$416,953,262","$706,572",0.2%,"$416,246,690",99.8%
21,Alita: Battle Angel,"$404,852,543","$85,710,210",21.2%,"$319,142,333",78.8%
22,Godzilla: King of the Monsters,"$386,600,138","$110,500,138",28.6%,"$276,100,000",71.4%
23,1917,"$374,717,445","$159,227,644",42.5%,"$215,489,801",57.5%
24,Once Upon a Time... in Hollywood,"$374,343,626","$142,502,728",38.1%,"$231,840,898",61.9%
25,Shazam!,"$365,971,656","$140,371,656",38.4%,"$225,600,000",61.6%
26,Dumbo,"$353,284,621","$114,766,307",32.5%,"$238,518,314",67.5%
27,John Wick: Chapter 3 - Parabellum,"$326,709,727","$171,015,687",52.3%,"$155,694,040",47.7%
28,Knives Out,"$309,232,797","$165,363,234",53.5%,"$143,869,563",46.5%
29,Terminator: Dark Fate,"$261,119,292","$62,253,077",23.8%,"$198,866,215",76.2%
30,Parasite,"$257,973,536","$53,369,749",20.7%,"$204,603,787",79.3%
31,Us,"$255,184,580","$175,084,580",68.6%,"$80,100,000",31.4%
32,Men in Black: International,"$253,890,701","$80,001,807",31.5%,"$173,888,894",68.5%
33,X-Men: Dark Phoenix,"$252,442,974","$65,845,974",26.1%,"$186,597,000",73.9%
34,Glass,"$246,999,039","$111,048,468",45%,"$135,950,571",55%
35,The Bravest,"$245,179,562","$290,217",0.1%,"$244,889,345",99.9%
36,Annabelle Comes Home,"$231,252,591","$74,152,591",32.1%,"$157,100,000",67.9%
37,Ford v Ferrari,"$225,508,210","$117,624,357",52.2%,"$107,883,853",47.8%
38,Better Days,"$225,320,294","$1,921,657",0.9%,"$223,398,637",99.1%
39,Little Women,"$209,101,214","$108,101,214",51.7%,"$101,000,000",48.3%
40,The Addams Family,"$203,044,905","$100,044,905",49.3%,"$103,000,000",50.7%
41,Rocketman,"$195,179,299","$96,368,160",49.4%,"$98,811,139",50.6%
42,Weathering with You,"$193,099,723","$7,798,743",4%,"$185,300,980",96%
43,The Lego Movie 2: The Second Part,"$192,306,508","$105,806,508",55%,"$86,500,000",45%
44,Downton Abbey,"$192,094,429","$96,854,135",50.4%,"$95,240,294",49.6%
45,The White Storm 2: Drug Lords,"$189,396,380","$609,461",0.3%,"$188,786,919",99.7%
46,Abominable,"$181,711,856","$60,716,390",33.4%,"$120,995,466",66.6%
47,Gemini Man,"$173,469,516","$48,546,770",28%,"$124,922,746",72%
48,Spies in Disguise,"$171,616,764","$66,757,013",38.9%,"$104,859,751",61.1%
49,Hustlers,"$157,563,598","$104,963,598",66.6%,"$52,600,000",33.4%
50,The Climbers,"$156,759,167","$487,157",0.3%,"$156,272,010",99.7%
51,Escape Room,"$155,712,077","$57,005,601",36.6%,"$98,706,476",63.4%
52,Yesterday,"$153,037,124","$73,286,650",47.9%,"$79,750,474",52.1%
53,The Angry Birds Movie 2,"$147,792,047","$41,667,116",28.2%,"$106,124,931",71.8%
54,Angel Has Fallen,"$146,661,977","$69,030,436",47.1%,"$77,631,541",52.9%
55,Ad Astra,"$127,461,872","$50,188,370",39.4%,"$77,273,502",60.6%
56,The Upside,"$125,852,517","$108,252,517",86%,"$17,600,000",14%
57,Midway,"$125,645,712","$56,846,802",45.2%,"$68,798,910",54.8%
